4/4 22:50:43.109  SPELL_PERIODIC_HEAL,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000000767E87,"Illiash",0x511,0x0,139,"Renew",0x2,4477,4477,0,nil
4/4 22:50:43.155  SPELL_CAST_SUCCESS,0x068000000154C086,"Fellmuh",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,8050,"Flame Shock",0x4
4/4 22:50:43.200  SPELL_CAST_SUCCESS,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1978,"Serpent Sting",0x8
4/4 22:50:43.200  SWING_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,8601,-1,1,0,0,0,nil,nil,nil
4/4 22:50:43.340  SPELL_DAMAGE,0x068000000020E48E,"Cursia",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,11366,"Pyroblast",0x4,27941,-1,4,0,0,0,nil,nil,nil
4/4 22:50:43.340  SPELL_AURA_APPLIED,0x068000000020E48E,"Cursia",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,11366,"Pyroblast",0x4,DEBUFF
4/4 22:50:43.422  SPELL_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,20424,"Seals of Command",0x2,883,-1,2,0,0,0,nil,nil,nil
4/4 22:50:43.422  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x06800000002449E3,"Recall",0x512,0x0,15290,"Vampiric Embrace",0x20,389,389,0,nil
4/4 22:50:43.422  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x06800000002449E3,"Recall",0x512,0x0,15290,"Vampiric Embrace",0x20,390,390,0,nil
4/4 22:50:43.422  SPELL_AURA_APPLIED,0x068000000020E48E,"Cursia",0x514,0x0,0x068000000020E48E,"Cursia",0x514,0x0,107970,"Combat Mind",0x1,BUFF
4/4 22:50:43.422  SPELL_AURA_APPLIED,0x0680000000A57395,"Miracelwip",0x514,0x0,0x0680000000A57395,"Miracelwip",0x514,0x0,107970,"Combat Mind",0x1,BUFF
4/4 22:50:43.422  SPELL_AURA_APPLIED,0x0680000000A57395,"Miracelwip",0x514,0x0,0x0680000000A57395,"Miracelwip",0x514,0x0,16870,"Clearcasting",0x8,BUFF
4/4 22:50:43.422  SPELL_AURA_APPLIED,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000002FD85BD,"Safur",0x514,0x0,74241,"Power Torrent",0x2,BUFF
4/4 22:50:43.422  SPELL_DAMAGE,0x068000000154C086,"Fellmuh",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,8050,"Flame Shock",0x4,12423,-1,4,0,0,0,1,nil,nil
4/4 22:50:43.422  SPELL_AURA_APPLIED,0x068000000154C086,"Fellmuh",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,8050,"Flame Shock",0x4,DEBUFF
4/4 22:50:43.422  SPELL_AURA_APPLIED_DOSE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,31803,"Censure",0x2,DEBUFF,2
4/4 22:50:43.422  SPELL_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,42463,"Seal of Truth",0x2,393,-1,2,0,0,0,nil,nil,nil
4/4 22:50:43.422  SPELL_AURA_APPLIED_DOSE,0x068000000020E48E,"Cursia",0x514,0x0,0x068000000020E48E,"Cursia",0x514,0x0,107970,"Combat Mind",0x1,BUFF,2
4/4 22:50:43.422  SPELL_AURA_APPLIED,0x068000000020E48E,"Cursia",0x514,0x0,0x068000000020E48E,"Cursia",0x514,0x0,105785,"Stolen Time",0x1,BUFF
4/4 22:50:43.438  RANGE_DAMAGE,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,75,"Auto Shot",0x1,6393,-1,1,0,0,0,nil,nil,nil
4/4 22:50:43.545  SPELL_ENERGIZE,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,35395,"Crusader Strike",0x1,1,9
4/4 22:50:43.545  SPELL_CAST_SUCCESS,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,35395,"Crusader Strike",0x1
4/4 22:50:43.730  SPELL_AURA_REMOVED,0x06800000007AD381,"Chimaîra",0x512,0x0,0x06800000007AD381,"Chimaîra",0x512,0x0,59888,"Borrowed Time",0x2,BUFF
4/4 22:50:43.811  SPELL_PERIODIC_HEAL,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000000767E87,"Illiash",0x511,0x0,77489,"Echo of Light",0x2,54,54,0,nil
4/4 22:50:43.824  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0xF140771C500003C7,"WannWolf",0x1112,0x0,15290,"Vampiric Embrace",0x20,390,390,0,nil
4/4 22:50:43.824  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,15290,"Vampiric Embrace",0x20,390,390,0,nil
4/4 22:50:43.824  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0xF140049ED40003C1,"Bheethun",0x1112,0x0,15290,"Vampiric Embrace",0x20,389,389,0,nil
4/4 22:50:43.824  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x068000000023AC05,"Delraius",0x512,0x0,15290,"Vampiric Embrace",0x20,389,389,0,nil
4/4 22:50:43.824  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x06800000007AD381,"Chimaîra",0x512,0x0,15290,"Vampiric Embrace",0x20,389,389,0,nil
4/4 22:50:43.824  SPELL_PERIODIC_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x0680000000767E87,"Illiash",0x511,0x0,15290,"Vampiric Embrace",0x20,413,413,0,nil
4/4 22:50:43.824  SPELL_AURA_REMOVED,0x068000000154C086,"Fellmuh",0x514,0x0,0x068000000154C086,"Fellmuh",0x514,0x0,73683,"Unleash Flame",0x4,BUFF
4/4 22:50:43.824  SPELL_AURA_APPLIED,0x068000000154C086,"Fellmuh",0x514,0x0,0x068000000154C086,"Fellmuh",0x514,0x0,29178,"Elemental Devastation",0x1,BUFF
4/4 22:50:43.824  SPELL_AURA_APPLIED_DOSE,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,107966,"Titanic Strength",0x1,BUFF,2
4/4 22:50:43.824  SPELL_AURA_APPLIED,0x068000000020E48E,"Cursia",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,22959,"Critical Mass",0x4,DEBUFF
4/4 22:50:43.824  SPELL_AURA_APPLIED,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,109717,"Combat Trance",0x1,BUFF
4/4 22:50:43.824  SPELL_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,35395,"Crusader Strike",0x1,13283,-1,1,0,0,0,nil,nil,nil
4/4 22:50:43.824  SPELL_AURA_APPLIED_DOSE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,31803,"Censure",0x2,DEBUFF,3
4/4 22:50:43.824  SPELL_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,42463,"Seal of Truth",0x2,1841,-1,2,0,0,0,1,nil,nil
4/4 22:50:43.824  SPELL_DAMAGE,0x06800000007AD381,"Chimaîra",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,14914,"Holy Fire",0x2,18748,-1,2,0,0,0,nil,nil,nil
4/4 22:50:43.824  SPELL_AURA_APPLIED,0x06800000007AD381,"Chimaîra",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,14914,"Holy Fire",0x2,DEBUFF
4/4 22:50:43.857  SPELL_AURA_APPLIED,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1978,"Serpent Sting",0x8,DEBUFF
4/4 22:50:43.857  SWING_DAMAGE,0xF13007AC0002206F,"Treant",0x1114,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1395,-1,1,0,0,0,nil,nil,nil
4/4 22:50:43.889  SPELL_CAST_FAILED,0x0680000000767E87,"Illiash",0x511,0x0,0x0000000000000000,nil,0x80000000,0x80000000,6572,"Revenge",0x1,"Not yet recovered"
